actual_audience_size_number_of_participants_in_person,actual_audience_size_number_of_participants_online,airtable_id,end_date,event_name,event_type,event_unique_identifier,number_of_booked_participants,postcode_(from_venue),project_name,project_type,season,start_date,status,ticket_tailor_id,ward_(from_venue)
700.0,,2124,2023-10-14,The Path Between,['CLE - Community Engagement session'],12 - My LEEDS 2023: The Path Between,,,12 - My LEEDS 2023,Produce (Signature),['Season 3 - Dreaming'],2023-10-14,01 - Greenlit,,
60.0,,1343,2023-10-15,Early Career Music Promoters: CPWM Gig - Jodie,"['Public Event - Performance', 'CLE - Skills and Talent session']",CLE - Skills Development: Early Career Music Promoters: CPWM Gig - Jodie,,['LS6 1BL'],CLE - Skills Development,CLE,['Season 3 - Dreaming'],2023-10-15,01 - Greenlit,,['Headingley and Hyde Park']
2.0,,2131,2023-10-31,Eating the Corn Exchange Band Recordings,"['Public Event - Installation', 'CLE - Skills and Talent session', 'CLE - Community Engagement session']",Hidden Stories: Eating the Corn Exchange Band Recordings,,,Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-15,01 - Greenlit,,
,,1705,2023-10-15,Rapid Motion Through Space: An Incomplete History of Speed - Film Screening & Q&A,['Public Event - Digital Experience'],09 - Smeaton300: Talks and Discussions: Rapid Motion Through Space: An Incomplete History of Speed - Film Screening & Q&A,,['LS6 1JD'],09 - Smeaton300: Talks and Discussions,Produce (Signature),['Season 3 - Dreaming'],2023-10-15,01 - Greenlit,,['Headingley and Hyde Park']
10.0,,2126,2023-10-16,Making A Stand : Creative Writing Response LBU,,02 - Making A Stand: Making A Stand : Creative Writing Response LBU,,,02 - Making A Stand,Produce (Signature),,2023-10-16,01 - Greenlit,,
,,2024,2023-10-28,Sokunge Exhibition,['Public Event - Installation'],06 - International Commissions: Sokunge Exhibition,,['LS2 7HY'],06 - International Commissions,Produce (Signature),['Season 3 - Dreaming'],2023-10-16,01 - Greenlit,,['Little London and Woodhouse']
380.0,,1688,2023-10-17,Sokunge Performance Activations,['Public Event - Performance'],06 - International Commissions: Sokunge Performance Activations,,['LS2 7HY'],06 - International Commissions,Produce (Signature),['Season 3 - Dreaming'],2023-10-16,01 - Greenlit,,['Little London and Woodhouse']
122.0,,2114,2023-10-28,Storymakers: Re-imagining Home Manor Wood Primary School,['CLE - Creative Learning session'],Creative Learning S3: Storymakers: Re-imagining Home Manor Wood Primary School,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-16,01 - Greenlit,,
90.0,,2112,2023-10-28,Storymakers: Re-imagining Home Moor Allerton Hall,['CLE - Creative Learning session'],Creative Learning S3: Storymakers: Re-imagining Home Moor Allerton Hall,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-16,01 - Greenlit,,
180.0,,2115,2023-10-28,Storymakers: Re-imagining Home Strawberry Fields,['CLE - Creative Learning session'],Creative Learning S3: Storymakers: Re-imagining Home Strawberry Fields,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-16,01 - Greenlit,,
120.0,,2113,2023-10-28,Storymakers: Re-imagining Home Temple Learning Academy,['CLE - Creative Learning session'],Creative Learning S3: Storymakers: Re-imagining Home Temple Learning Academy,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-16,01 - Greenlit,,
5.0,,1748,2023-10-17, Community CPD Session - North Workshop 4,"['CLE - Skills and Talent session', 'CLE - Community Engagement session']",General CLE:  Community CPD Session - North Workshop 4,,['LS6 2NY'],General CLE,CLE,['Season 3 - Dreaming'],2023-10-17,01 - Greenlit,,['Headingley and Hyde Park']
45.0,,1807,2023-10-17,"Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Abbey Grange",['CLE - Creative Learning session'],"Creative Learning S3: Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Abbey Grange",,,Creative Learning S3,CLE,,2023-10-17,01 - Greenlit,,
44.0,,1810,2023-10-17,"Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Roundhay",['CLE - Creative Learning session'],"Creative Learning S3: Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Roundhay",,,Creative Learning S3,CLE,,2023-10-17,01 - Greenlit,,
55.0,,1706,2023-10-17,Smeaton300 Talks: The Art of Engineering - panel talk,['Public Event - Talk / Tour'],09 - Smeaton300: Talks and Discussions: Smeaton300 Talks: The Art of Engineering - panel talk,,['LS1 3AB'],09 - Smeaton300: Talks and Discussions,Produce (Signature),['Season 3 - Dreaming'],2023-10-17,01 - Greenlit,,['Little London and Woodhouse']
56.0,,1709,2023-10-18,Early Career Music Promoters: CPWM Gig - Elise Return of the She-Punks,"['Public Event - Performance', 'CLE - Skills and Talent session']",CLE - Skills Development: Early Career Music Promoters: CPWM Gig - Elise Return of the She-Punks,,,CLE - Skills Development,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,
45.0,,1800,2023-10-18,"Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Castleton",['CLE - Creative Learning session'],"Creative Learning S3: Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Castleton",,,Creative Learning S3,CLE,,2023-10-18,01 - Greenlit,,
44.0,,1811,2023-10-18,"Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Ralph Thoresby",['CLE - Creative Learning session'],"Creative Learning S3: Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - Ralph Thoresby",,,Creative Learning S3,CLE,,2023-10-18,01 - Greenlit,,
118.0,,1221,2023-10-19,Yorkshire Schools Dance Festival,['Public Event - Performance'],Creative Learning S3: Yorkshire Schools Dance Festival,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,"ev_3013871, ev_3013872",['Little London and Woodhouse']
24.0,,1859,2023-10-18,Yorkshire Schools Dance Festival: Barwick-in-Elmet Church Of England Primary School,"['CLE - Creative Learning session', 'Public Event - Performance']",Creative Learning S3: Yorkshire Schools Dance Festival: Barwick-in-Elmet Church Of England Primary School,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
25.0,,1864,2023-10-18,Yorkshire Schools Dance Festival: Corpus Christi Catholic College,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Corpus Christi Catholic College,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
18.0,,1868,2023-10-18,Yorkshire Schools Dance Festival: Hymers Junior School,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Hymers Junior School,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
15.0,,1869,2023-10-18,Yorkshire Schools Dance Festival: Leeds City Academy,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Leeds City Academy,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
20.0,,1865,2023-10-18,Yorkshire Schools Dance Festival: Leeds City College,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Leeds City College,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1861,2023-10-18,Yorkshire Schools Dance Festival: Moortown Primary,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Moortown Primary,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
20.0,,1863,2023-10-18,Yorkshire Schools Dance Festival: Notre Dame Sixth Form,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Notre Dame Sixth Form,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,
30.0,,1858,2023-10-18,Yorkshire Schools Dance Festival: Poplars Farm Primary,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Poplars Farm Primary,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1871,2023-10-18,Yorkshire Schools Dance Festival: St Joseph's Bradford,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: St Joseph's Bradford,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1866,2023-10-18,Yorkshire Schools Dance Festival: St Margaret's Horsforth,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: St Margaret's Horsforth,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1872,2023-10-18,Yorkshire Schools Dance Festival: St Peter's Primary School,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: St Peter's Primary School,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,
15.0,,1860,2023-10-18,Yorkshire Schools Dance Festival: The Ruth Gorse Academy,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: The Ruth Gorse Academy,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
20.0,,1870,2023-10-18,Yorkshire Schools Dance Festival: Trinity Academy Halifax,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Trinity Academy Halifax,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1862,2023-10-18,Yorkshire Schools Dance Festival: Trinity Academy Leeds,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Trinity Academy Leeds,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1867,2023-10-18,Yorkshire Schools Dance Festival: Wetherby High School,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Wetherby High School,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-18,01 - Greenlit,,['Little London and Woodhouse']
45.0,,1804,2023-10-19,"Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - St Lukes Beeston",['CLE - Creative Learning session'],"Creative Learning S3: Leeds 2023, Leeds Art Gallery and Henry Moore Institute: 'Feeling Her Way' Schools Workshops - St Lukes Beeston",,,Creative Learning S3,CLE,,2023-10-19,01 - Greenlit,,
30.0,,1857,2023-10-19,Yorkshire Schools Dance Festival: Cookridge Holy Trinity,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Cookridge Holy Trinity,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-19,01 - Greenlit,,['Little London and Woodhouse']
30.0,,1786,2023-10-19,Yorkshire Schools Dance Festival: East Morton CE Primary,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: East Morton CE Primary,,,Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-19,01 - Greenlit,,
15.0,,1856,2023-10-19,Yorkshire Schools Dance Festival: Hanson Academy,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Hanson Academy,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-19,01 - Greenlit,,['Little London and Woodhouse']
20.0,,1855,2023-10-19,Yorkshire Schools Dance Festival: Trinity Academy Cathedral,"['CLE - Creative Learning session', 'Public Event - Installation']",Creative Learning S3: Yorkshire Schools Dance Festival: Trinity Academy Cathedral,,['LS2 3AD'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-19,01 - Greenlit,,['Little London and Woodhouse']
70.0,,2227,2023-10-20,Sports & Arts Supper Club,['CLE - Youth Voice session'],CLE - Youth Voice Programmes: Sports & Arts Supper Club,,['LS6 3HN'],CLE - Youth Voice Programmes,CLE,['Season 3 - Dreaming'],2023-10-20,01 - Greenlit,,['Headingley and Hyde Park']
16.0,,2383,2023-10-21,City Stories: Bookmaking with photography ,['CLE - Community Engagement session'],Hidden Stories: City Stories: Bookmaking with photography ,,,Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-21,01 - Greenlit,,
16.0,,2413,2023-10-21,City Stories: Common Ground - Making photo books workshops,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Making photo books workshops,,['LS1 5EB'],Hidden Stories,CLE,,2023-10-21,01 - Greenlit,,
13.0,,1901,2023-10-22,MOON PALACE: After Dark Observation Session at Royal Armouries,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: MOON PALACE: After Dark Observation Session at Royal Armouries,,['LS10 1LT'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-22,01 - Greenlit,ev_3004009,['Hunslet and Riverside']
0.0,,1900,2023-10-22,MOON PALACE: Relaxed After Dark Observation Session at Royal Armouries,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: MOON PALACE: Relaxed After Dark Observation Session at Royal Armouries,,['LS10 1LT'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-22,01 - Greenlit,ev_2918207,['Hunslet and Riverside']
82.0,,1756,2023-10-22,MOON PALACE: Relaxed Daytime Observation Session ,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: MOON PALACE: Relaxed Daytime Observation Session ,,['LS10 1LT'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-22,01 - Greenlit,,['Hunslet and Riverside']
25.0,,1883,2023-12-23,Burberry Careers Roadshow: Pinc College,['CLE - Creative Learning session'],Creative Learning S3: Burberry Careers Roadshow: Pinc College,,['LS10 1JQ'],Creative Learning S3,CLE,,2023-10-23,01 - Greenlit,,['Hunslet and Riverside']
,,2012,2023-10-23,LBU - Dance Rehearsal  Kinematic Forest,,02 - Making A Stand: LBU - Dance Rehearsal  Kinematic Forest,,,02 - Making A Stand,,,2023-10-23,01 - Greenlit,,
10.0,,756,,Lotherton Hall ,['CLE - Community Engagement session'],01 - The Awakening: Lotherton Hall ,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-10-23,01 - Greenlit,,
,15.0,2262,2023-10-24,Broadening Horizons: Artist Development Programme | Session 2 – Logistics & Legalities of International Working ,,06 - International Commissions: Broadening Horizons: Artist Development Programme | Session 2 – Logistics & Legalities of International Working ,,,06 - International Commissions,Produce (Signature),['Season 3 - Dreaming'],2023-10-24,01 - Greenlit,,
0.0,,1899,2023-10-24,MOON PALACE: After Dark Observation Session with Audio Description ,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: MOON PALACE: After Dark Observation Session with Audio Description ,,['LS9 7DP'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-24,01 - Greenlit,ev_2918127,['Burmantofts and Richmond Hill']
13.0,,1755,2023-10-24,MOON PALACE: After Dark Observation Session with BSL,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: MOON PALACE: After Dark Observation Session with BSL,,['LS9 7DP'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-24,01 - Greenlit,ev_2918127,['Burmantofts and Richmond Hill']
7.0,,1389,2023-10-24,MOON PALACE: Daytime Observation Session at The Leeds Society for Deaf and Blind People Centre,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: MOON PALACE: Daytime Observation Session at The Leeds Society for Deaf and Blind People Centre,,['LS9 7DP'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-24,01 - Greenlit,ev_2918127,['Burmantofts and Richmond Hill']
9.0,,2229,2023-10-24,Oral Archive Training,,Hidden Stories: Oral Archive Training,12.0,['LS10 1LT'],Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-24,01 - Greenlit,,['Hunslet and Riverside']
60.0,,1707,2023-10-24,Smeaton300 Talks: Engineering Leeds : How African Caribbean Men and Women helped to shape engineering post war in Leeds,['Public Event - Talk / Tour'],09 - Smeaton300: Talks and Discussions: Smeaton300 Talks: Engineering Leeds : How African Caribbean Men and Women helped to shape engineering post war in Leeds,,['LS1 3AB'],09 - Smeaton300: Talks and Discussions,Produce (Signature),['Season 3 - Dreaming'],2023-10-24,01 - Greenlit,,['Little London and Woodhouse']
70.0,,1692,,Could There Be Another David Oluwale? ,['Public Event - Talk / Tour'],06 - Hibiscus Rising: Could There Be Another David Oluwale? ,,['LS1 3HE'],06 - Hibiscus Rising,Produce (Signature),['Season 3 - Dreaming'],2023-10-25,01 - Greenlit,,['Little London and Woodhouse']
74.0,,2051,2023-10-25,Leeds Art Gallery: Youth Twilight Takeover,['CLE - Community Engagement session'],General CLE: Leeds Art Gallery: Youth Twilight Takeover,,['LS1 3AA'],General CLE,CLE,,2023-10-25,01 - Greenlit,ev_3075818,['Little London and Woodhouse']
73.0,,1799,2023-10-25,Leeds Art Gallery: Youth Twilight Takeover,"['CLE - Creative Learning session', 'Public Event - Performance']",Creative Learning S3: Leeds Art Gallery: Youth Twilight Takeover,,['LS1 3AA'],Creative Learning S3,CLE,['Season 3 - Dreaming'],2023-10-25,01 - Greenlit,,['Little London and Woodhouse']
150.0,,1214,2023-10-26,Leeds Children's Book Awards: Presentation Evening,['CLE - Community Engagement session'],Creative Learning S3: Leeds Children's Book Awards: Presentation Evening,,['LS11 0ES'],Creative Learning S3,CLE,['Season 2 - Playing'],2023-10-26,01 - Greenlit,,['Beeston and Holbeck']
1092.0,0.0,1416,2023-11-04,All That Lives - Zion Studio Mexico City: Sculptures and Ofrenda,"['Public Event - Exhibition', 'Public Event - Installation', 'Public Event - Talk / Tour']",11 - All That Lives: All That Lives - Zion Studio Mexico City: Sculptures and Ofrenda,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,
107.0,,259,2023-10-27,All That Lives - launch,['Public Event - Installation'],11 - All That Lives: All That Lives - launch,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,
656.0,,1413,2023-11-04,All that Lives - Journey with Absent Friends,"['Public Event - Exhibition', 'Public Event - Talk / Tour', 'Public Event - Installation']",11 - All That Lives: All that Lives - Journey with Absent Friends,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,
6092.0,,1414,2023-11-04,All that Lives - Lying in State,"['Public Event - Exhibition', 'Public Event - Installation', 'Public Event - Talk / Tour']",11 - All That Lives: All that Lives - Lying in State,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,
369.0,,1412,2023-11-04,All that Lives - What is Left? ,"['Public Event - Exhibition', 'Public Event - Talk / Tour']",11 - All That Lives: All that Lives - What is Left? ,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,
532.0,0.0,1415,2023-11-04,All that Lives: The Crossing,"['Public Event - Exhibition', 'Public Event - Talk / Tour']",11 - All That Lives: All that Lives: The Crossing,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,
70.0,,1710,2023-10-27,Early Career Music Promoters: CPWM Gig - Amandeep,"['Public Event - Performance', 'CLE - Skills and Talent session']",CLE - Skills Development: Early Career Music Promoters: CPWM Gig - Amandeep,,['LS7 3EZ'],CLE - Skills Development,CLE,['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,['Chapel Allerton']
3397.0,,1700,2025-09-28,Engineery: Building Better Futures,['Public Event - Exhibition'],09 - Smeaton300: Learning programme: Engineery: Building Better Futures,,['LS12 2QF'],09 - Smeaton300: Learning programme,Produce (Signature),['Season 3 - Dreaming'],2023-10-27,01 - Greenlit,,['Armley']
51.0,,2378,2023-10-28,Any Work That Wanted Doing: Gill Crawshaw - Open Afternoon,"['Public Event - Exhibition', 'CLE - Community Engagement session']",Hidden Stories: Any Work That Wanted Doing: Gill Crawshaw - Open Afternoon,,['LS12 2QF'],Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-28,01 - Greenlit,,['Armley']
131.0,,1758,2023-10-28,Moon Palace: Daytime Observation Session at Whinmoor Library ,['Public Event - Installation'],09 - Smeaton300: Moon Palace East Leeds Observatory: Moon Palace: Daytime Observation Session at Whinmoor Library ,,['LS14 2DF'],09 - Smeaton300: Moon Palace East Leeds Observatory,Produce (Signature),['Season 3 - Dreaming'],2023-10-28,01 - Greenlit,,['Cross Gates and Whinmoor']
130.0,,2442,2023-10-28,Smeaton300: Make and Create Family Festival (Whinmoor Library),['Public Event - Installation'],09 - Smeaton300: Learning programme: Smeaton300: Make and Create Family Festival (Whinmoor Library),,['LS14 2DF'],09 - Smeaton300: Learning programme,Produce (Signature),['Season 3 - Dreaming'],2023-10-28,01 - Greenlit,,['Cross Gates and Whinmoor']
12.0,,2230,2023-10-29,Edible Archives: Eating The Corn Exchange Invite Only,"['CLE - Community Engagement session', 'Public Event - Installation']",Hidden Stories: Edible Archives: Eating The Corn Exchange Invite Only,18.0,['LS1 7BR'],Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-29,01 - Greenlit,,
34.0,,2228,2023-10-29,Edible Archives: Eating The Corn Exchange Slot 1 ,"['CLE - Community Engagement session', 'Public Event - Installation']",Hidden Stories: Edible Archives: Eating The Corn Exchange Slot 1 ,38.0,['LS1 7BR'],Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-29,01 - Greenlit,,
29.0,,2231,2023-10-29,Edible Archives: Eating The Corn Exchange Slot 2,"['CLE - Community Engagement session', 'Public Event - Installation']",Hidden Stories: Edible Archives: Eating The Corn Exchange Slot 2,40.0,['LS1 7BR'],Hidden Stories,CLE,['Season 3 - Dreaming'],2023-10-29,01 - Greenlit,,
10.0,,758,,Temple Newsam - Creation Station ,['CLE - Community Engagement session'],01 - The Awakening: Temple Newsam - Creation Station ,,['LS15 0AE'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2023-10-29,01 - Greenlit,,['Temple Newsam']
488.0,,1411,2023-11-03,All that Lives - Engagement Workshops,"['CLE - Community Engagement session', 'CLE - Skills and Talent session', 'Public Event - Talk / Tour']",11 - All That Lives: All that Lives - Engagement Workshops,,,11 - All That Lives,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,
6.0,,2179,2023-10-30,Northern Dreaming Storytime Tour: Beeston Library,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: Beeston Library,,['LS11 8PN'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Beeston and Holbeck']
14.0,,2199,2023-10-30,Northern Dreaming Storytime Tour: Garforth Community Hub,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: Garforth Community Hub,,['LS25 1EH'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Garforth and Swillington']
20.0,,2189,2023-10-30,Northern Dreaming Storytime Tour: Hunslet Community Hub,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: Hunslet Community Hub,,['LS10 2NS'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Hunslet and Riverside']
11.0,,2200,2023-10-30,Northern Dreaming Storytime Tour: Rothwell Community Hub,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: Rothwell Community Hub,,[' LS26 0AD'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Rothwell']
25.0,,2306,2023-10-30,Northern Dreaming Storytime Tour: Steinbeck Community Hall,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: Steinbeck Community Hall,,['LS7 2EA'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Moortown']
20.0,,2190,2023-10-30,Northern Dreaming Storytime Tour: The Den Headingley,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: The Den Headingley,,['LS6 2UE'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Headingley and Hyde Park']
61.0,,2180,2023-10-30,Northern Dreaming Storytime Tour: The Tetley,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: The Tetley,,['LS10 1JQ'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,,['Hunslet and Riverside']
50.0,,2170,2023-10-30,Northern Dreaming Storytime Tour: Trinity Hub,['Public Event - Performance'],13 - Northern Dreaming: Northern Dreaming Storytime Tour: Trinity Hub,,['LS1 5AT'],13 - Northern Dreaming,Produce (Signature),['Season 3 - Dreaming'],2023-10-30,01 - Greenlit,"ev_3134526, ev_3134527, ev_3134528",['Little London and Woodhouse']
166.0,,1230,2023-11-01,Early Career Music Promoters: LEEDS 2023 Gig Queercore Night of the Living,"['Public Event - Performance', 'CLE - Skills and Talent session']",CLE - Skills Development: Early Career Music Promoters: LEEDS 2023 Gig Queercore Night of the Living,175.0,['LS9 8AH'],CLE - Skills Development,CLE,['Season 3 - Dreaming'],2023-10-31,01 - Greenlit,ev_2905326,['Little London and Woodhouse']
62.0,,2296,2023-10-31,Engineery: Half Term Lego Workshop,['Public Event - Exhibition'],09 - Smeaton300: Learning programme: Engineery: Half Term Lego Workshop,,['LS12 2QF'],09 - Smeaton300: Learning programme,Produce (Signature),['Season 3 - Dreaming'],2023-10-31,01 - Greenlit,,['Armley']
6.0,,1743,2023-11-02, Community CPD Session - South West Workshop 4,"['CLE - Skills and Talent session', 'CLE - Community Engagement session']",General CLE:  Community CPD Session - South West Workshop 4,,[' LS12 1LZ'],General CLE,CLE,['Season 3 - Dreaming'],2023-11-02,01 - Greenlit,,['Armley']
22.0,,2297,2023-11-02,Engineery: Half term Lego Spike and RVR Robots workshops,['Public Event - Exhibition'],09 - Smeaton300: Learning programme: Engineery: Half term Lego Spike and RVR Robots workshops,,['LS12 2QF'],09 - Smeaton300: Learning programme,Produce (Signature),['Season 3 - Dreaming'],2023-11-02,01 - Greenlit,,['Armley']
